,Unnamed: 0,id,Range (km),Battery Level (%),Latitude (°),Longitude (°),Speed (km/h),Maintenance Cost ($),Charging Cost ($),Pin Code,Working Condition,Charging Status,Energy Consumed (kWh),Fast Charge Speed (kW),status,Date,dvr,Make,mgr,Acceleration 0 - 100 km/h,Top Speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,km
0,0,1,47.81,19,26.861179,70.065424,85,208,40,783273,1,1,7.1715,101,1,2023-11-22,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,32032.0
1,1,1,47.81,19,26.861179,70.065424,85,208,40,783273,1,1,7.1715,101,1,2023-11-22,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,32388.0
2,2,1,341.31,76,21.788913,77.104373,98,284,28,361358,1,0,51.1965,53,1,2023-07-14,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,144928.0
3,3,1,341.31,76,21.788913,77.104373,98,284,28,361358,1,0,51.1965,53,1,2023-07-14,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,149375.0
4,4,1,344.81,76,10.063333,75.834771,63,198,12,667542,1,0,51.7215,135,1,2023-06-29,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,155022.0
5,5,1,344.81,76,10.063333,75.834771,63,198,12,667542,1,0,51.7215,135,1,2023-06-29,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,151874.0
6,6,1,118.03,34,20.492932,70.853735,113,70,19,373817,1,1,17.7045,127,0,2023-10-18,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,61335.0
7,7,1,118.03,34,20.492932,70.853735,113,70,19,373817,1,1,17.7045,127,0,2023-10-18,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,59862.0
8,8,1,199.44,48,27.985443,94.087131,68,134,14,564979,1,1,29.916,76,1,2023-02-20,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,96776.0
9,9,1,199.44,48,27.985443,94.087131,68,134,14,564979,1,1,29.916,76,1,2023-02-20,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,95559.0
10,10,1,287.0,67,25.10133,92.122461,69,185,7,775637,0,0,43.05,101,1,2023-05-23,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,131881.0
11,11,1,287.0,67,25.10133,92.122461,69,185,7,775637,0,0,43.05,101,1,2023-05-23,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,133122.0
12,12,1,373.38,83,30.222593,96.873471,96,286,11,293170,1,0,56.007,60,1,2023-04-15,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,161888.0
13,13,1,373.38,83,30.222593,96.873471,96,286,11,293170,1,0,56.007,60,1,2023-04-15,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,166499.0
14,14,1,260.99,60,27.73428,96.405518,70,226,6,793354,0,1,39.1485,95,0,2023-08-26,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,122770.0
15,15,1,260.99,60,27.73428,96.405518,70,226,6,793354,0,1,39.1485,95,0,2023-08-26,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,117186.0
16,16,1,291.92,69,29.031431,75.512331,94,73,23,790358,1,1,43.788,53,0,2023-02-24,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,130178.0
17,17,1,291.92,69,29.031431,75.512331,94,73,23,790358,1,1,43.788,53,0,2023-02-24,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,129620.0
18,18,1,448.33,99,21.875589,94.547536,43,228,37,473767,1,1,67.2495,82,1,2023-11-30,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,196484.0
19,19,1,448.33,99,21.875589,94.547536,43,228,37,473767,1,1,67.2495,82,1,2023-11-30,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,188016.0
20,20,1,409.31,91,36.612281,76.451363,99,265,24,891428,1,1,61.3965,74,0,2023-01-19,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,172960.0
21,21,1,409.31,91,36.612281,76.451363,99,265,24,891428,1,1,61.3965,74,0,2023-01-19,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,175438.0
22,22,1,362.32,82,19.894236,95.075538,89,273,7,150259,1,1,54.348,80,0,2023-08-25,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,159765.0
23,23,1,362.32,82,19.894236,95.075538,89,273,7,150259,1,1,54.348,80,0,2023-08-25,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,161462.0
24,24,1,127.78,35,26.158591,96.48083,40,98,23,135027,1,0,19.167,100,1,2023-07-22,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,64913.0
25,25,1,127.78,35,26.158591,96.48083,40,98,23,135027,1,0,19.167,100,1,2023-07-22,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,63826.0
26,26,1,139.76,37,22.073782,72.475231,92,261,40,390616,1,0,20.964,122,1,2023-04-14,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,69142.0
27,27,1,139.76,37,22.073782,72.475231,92,261,40,390616,1,0,20.964,122,1,2023-04-14,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,73108.0
28,28,1,425.64,94,31.446517,87.568755,109,151,36,259598,1,0,63.846,99,1,2023-01-04,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,186111.0
29,29,1,425.64,94,31.446517,87.568755,109,151,36,259598,1,0,63.846,99,1,2023-01-04,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,184119.0
30,30,1,372.63,83,15.696624,82.239437,63,274,35,349338,1,0,55.8945,114,1,2023-02-09,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,165350.0
31,31,1,372.63,83,15.696624,82.239437,63,274,35,349338,1,0,55.8945,114,1,2023-02-09,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,162476.0
32,32,1,239.44,59,9.718853,74.786144,114,280,17,186774,1,1,35.916,128,0,2023-09-02,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,111369.0
33,33,1,239.44,59,9.718853,74.786144,114,280,17,186774,1,1,35.916,128,0,2023-09-02,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,112361.0
34,34,1,47.32,19,21.816869,70.439818,75,234,28,664098,1,0,7.098,74,0,2023-09-24,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,31137.0
35,35,1,47.32,19,21.816869,70.439818,75,234,28,664098,1,0,7.098,74,0,2023-09-24,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,33708.0
36,36,1,55.23,23,30.594909,95.172457,61,204,17,393571,1,1,8.2845,104,1,2023-04-10,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,33303.0
37,37,1,55.23,23,30.594909,95.172457,61,204,17,393571,1,1,8.2845,104,1,2023-04-10,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,38567.0
38,38,1,159.74,41,17.373099,82.970328,112,299,34,331721,1,0,23.961,136,0,2023-05-20,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,81790.0
39,39,1,159.74,41,17.373099,82.970328,112,299,34,331721,1,0,23.961,136,0,2023-05-20,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,76524.0
40,40,1,146.88,39,12.007574,73.323475,119,194,38,606262,1,1,22.032,50,0,2023-07-21,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,69371.0
41,41,1,146.88,39,12.007574,73.323475,119,194,38,606262,1,1,22.032,50,0,2023-07-21,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,68391.0
42,42,1,433.72,95,33.051679,70.294448,113,219,6,206562,1,1,65.058,146,0,2023-07-14,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,189389.0
43,43,1,433.72,95,33.051679,70.294448,113,219,6,206562,1,1,65.058,146,0,2023-07-14,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,182227.0
44,44,1,260.44,60,14.264554,70.794901,83,129,36,222131,1,1,39.066,116,0,2023-10-09,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,114314.0
45,45,1,260.44,60,14.264554,70.794901,83,129,36,222131,1,1,39.066,116,0,2023-10-09,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,119976.0
46,46,1,111.05,31,9.813763,84.091268,55,60,28,652083,1,1,16.6575,128,0,2023-08-04,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,57450.0
47,47,1,111.05,31,9.813763,84.091268,55,60,28,652083,1,1,16.6575,128,0,2023-08-04,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,56707.0
48,48,1,154.9,41,9.611538,75.0383,57,300,25,643836,1,1,23.235,88,0,2023-08-01,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,80668.0
49,49,1,154.9,41,9.611538,75.0383,57,300,25,643836,1,1,23.235,88,0,2023-08-01,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,74842.0
50,50,1,362.98,81,10.892748,85.435428,52,63,17,311581,1,1,54.447,62,1,2023-10-06,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,162130.0
51,51,1,362.98,81,10.892748,85.435428,52,63,17,311581,1,1,54.447,62,1,2023-10-06,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,158630.0
52,52,1,36.18,20,28.636276,86.832023,107,296,19,723291,1,1,5.427,55,0,2023-06-25,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,31890.0
53,53,1,36.18,20,28.636276,86.832023,107,296,19,723291,1,1,5.427,55,0,2023-06-25,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,30440.0
54,54,1,414.89,92,35.247957,91.724618,64,101,6,477040,1,1,62.23349999999999,98,0,2023-09-17,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,183026.0
55,55,1,414.89,92,35.247957,91.724618,64,101,6,477040,1,1,62.23349999999999,98,0,2023-09-17,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,183129.0
56,56,1,123.28,36,36.387427,68.499602,68,129,9,310473,1,1,18.492,63,0,2023-01-17,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,68076.0
57,57,1,123.28,36,36.387427,68.499602,68,129,9,310473,1,1,18.492,63,0,2023-01-17,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,65371.0
58,58,1,112.46,31,23.826851,77.597035,57,162,35,342495,1,1,16.869,128,0,2023-03-11,deepak,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,61347.0
59,59,1,112.46,31,23.826851,77.597035,57,162,35,342495,1,1,16.869,128,0,2023-03-11,shwetha,Tesla1,Mark,4.4,233,485,366,493,AWD,82.0,4694,1849,1443,2875,2232,388,561,5,60017.0
